Company,Industry,Age,Rating,Reviews,Salary,Location,Highly Rated,Critically Rated
Taj Hotels Resorts and Palaces,,121,4.2,2,4.8k,Mumbai,Job Security,
Simplex Infrastructures,Engineering & Construction,100,3.3,2,6.1k,Kolkata,Salary & Benefits,Salary & Benefits
Indus Towers,Hardware & Networking,17,3.9,2,7.8k,Gurgaon,Promotions / Appraisal,Promotions / Appraisal
Tractors and Farm Equipment,Industrial Machinery,64,4.1,2,8.1k,Chennai,Skill Development / Learning,Promotions / Appraisal
ACT Fibernet,Telecom,16,4.0,2,7.3k,Bangalore,Company Culture,
Lava International,Consumer Electronics & Appliances,15,4.1,2,4.6k,Noida,Skill Development / Learning,
Dalmia Bharat Cement,Building Material,89,4.0,2,8k,NCR,Job Security,
ZS,Management Consulting,41,3.4,2,17.2k,Evanston,Salary & Benefits,Work Life Balance
Himalaya Wellness,,94,4.1,1.9,6.2k,Francisco,Work Life Balance,
VVDN Technologies,IT Services & Consulting,17,3.6,1.9,11.2k,Gurgaon,Promotions / Appraisal,Promotions / Appraisal
SRF,Chemicals,54,4.2,1.9,7.9k,Gurugram,Job Security,
Blue Star,Consumer Electronics & Appliances,81,4.1,1.9,9k,Mumbai,Company Culture,
State Street Syntel,Financial Services,20,3.7,1.9,9.7k,Mumbai,Job Security,Salary & Benefits
Citicorp,Financial Services,27,3.7,1.9,21.8k,Mumbai,Salary & Benefits,Promotions / Appraisal
Shell,Oil & Gas,117,4.1,1.9,13.2k,London,Work Life Balance,Promotions / Appraisal
V Mart,Retail,22,4.2,1.9,4.4k,Gurugram,Skill Development / Learning,
Ajanta Pharma,Pharma,51,4.1,1.9,8.5k,Mumbai,Job Security,
Tata Elxsi,IT Services & Consulting,35,3.9,1.9,19.1k,Bengaluru,Job Security,Promotions / Appraisal
Sonalika Tractors,Automobile,55,3.7,1.9,8.3k,Hoshiarpur,Promotions / Appraisal,Promotions / Appraisal
Mahindra Rural Housing Finance,NBFC,17,4.0,1.9,5k,Mumbai,Work Life Balance,Promotions / Appraisal
Ola Cabs,Internet,14,3.4,1.9,10.9k,Bangalore,Job Security,Job Security
Aditya Birla Group,Building Material,167,4.2,1.9,10.3k,Mumbai,Job Security,
NoBroker,Internet,10,3.1,1.9,8.8k,Bangalore,Promotions / Appraisal,Promotions / Appraisal
Lifestyle,Retail,25,4.4,1.9,6.8k,Bengaluru,Job Security,
Movate,IT Services & Consulting,28,3.4,1.9,14.1k,Plano,Promotions / Appraisal,Promotions / Appraisal
Extramarks Education,EdTech,17,3.4,1.9,8.1k,Noida,Job Security,Job Security
Kalyan Jewellers,Jewellery,31,4.7,1.9,1.3k,Thrissur,Company Culture,
Datamatics Global Services,IT Services & Consulting,49,3.5,1.9,11.6k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
suzuki motor gujarat,Automobile,,4.3,1.9,7.1k,Becharaji,Job Security,
Kansai Nerolac Paints,Chemicals,104,3.9,1.9,6.7k,Mumbai,Job Security,Promotions / Appraisal
Info Edge,Internet,29,4.0,1.9,10.8k,Noida,Job Security,
Delhi Public School,,26,3.9,1.8,5.5k,Noida,Skill Development / Learning,
Cholamandalam MS General Insurance,Insurance,23,3.9,1.8,5.7k,Chennai,Promotions / Appraisal,Promotions / Appraisal
Ninjacart,Internet,9,4.0,1.8,5.8k,Bangalore,Salary & Benefits,
MSN Laboratories,,21,3.7,1.8,7.9k,Secunderabad,Job Security,Company Culture
Parle Agro,Beverage,40,4.1,1.8,6.5k,Mumbai,Job Security,
Eureka Forbes,Consumer Electronics & Appliances,42,3.7,1.8,5.7k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
Unacademy,EdTech,9,3.0,1.8,9.7k,Bangalore,Job Security,Job Security
Radisson Hotels,,115,4.0,1.8,5.6k,Minnetonka,Skill Development / Learning,
Emcure Pharmaceuticals,,43,3.8,1.8,8.1k,Pune,Job Security,Job Security
Foundever,,39,3.6,1.8,7.2k,Miami,Promotions / Appraisal,Promotions / Appraisal
Nokia Networks,Hardware & Networking,,4.3,1.8,12k,Chennai,Company Culture,
3i Infotech,IT Services & Consulting,31,3.5,1.8,11k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
Blinkit,Internet,11,3.8,1.8,8.7k,Gurgaon,Job Security,Job Security
Jindal Stainless,Iron & Steel,54,4.2,1.8,9.3k,NCR,Job Security,
Cloudnine Hospital,,17,4.4,1.8,2.4k,Bangalore,Skill Development / Learning,
Mahindra Holidays Resorts,Hospitality,28,3.5,1.8,5.9k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
Cybage,IT Services & Consulting,29,3.9,1.8,17.3k,Pune,Job Security,Promotions / Appraisal
ICICI Securities,Financial Services,29,3.9,1.8,8.9k,Mumbai,Job Security,
Life Insurance Corporation of India,Insurance,68,4.4,1.8,4.5k,Mumbai,Work Life Balance,
Google,Software Product,5,4.4,1.8,20.9k,View,Company Culture,
Syngene International,Clinical Research,31,3.9,1.8,11.5k,Bengaluru,Job Security,Promotions / Appraisal
Biocon Limited,Biotechnology,46,3.9,1.8,11.5k,Rural,Job Security,Promotions / Appraisal
BT Group,,178,4.0,1.8,10.9k,London,Work Life Balance,Promotions / Appraisal
Akums Drugs Pharmaceuticals Limited,Pharma,20,4.3,1.8,5.9k,NCR,Job Security,
Planet Spark,EdTech,7,3.7,1.8,2.9k,Gurgaon,Skill Development / Learning,Promotions / Appraisal
JCB,,79,4.0,1.8,8.9k,Rocester,Work Life Balance,Promotions / Appraisal
Gallagher,Insurance,97,3.8,1.8,11.4k,Meadows,Job Security,Promotions / Appraisal
Myntra,Internet,17,4.0,1.8,9.9k,Bangalore,Company Culture,Promotions / Appraisal
Indian Railways,Railways,171,4.2,1.7,3.5k,NCR,Job Security,
GlaxoSmithKline Pharmaceuticals,Pharma,194,4.1,1.7,5.4k,Brentford,Company Culture,
upGrad,EdTech,9,3.8,1.7,8.1k,Francisco,Salary & Benefits,
Cadila Pharmaceuticals,Pharma,73,3.5,1.7,7.1k,Ahmedabad,Job Security,Job Security
Canara HSBC Life Insurance,Insurance,16,3.7,1.7,6.1k,Gurugram,Salary & Benefits,
Care Health Insurance,Insurance,12,3.7,1.7,8k,Gurgaon,Promotions / Appraisal,Promotions / Appraisal
Adani Power,Power,18,3.9,1.7,8.1k,Ahmedabad,Job Security,
Reliance Trends,Retail,18,4.3,1.7,4.2k,Mumbai,Skill Development / Learning,
Fincare Small Finance Bank,Banking,17,4.1,1.7,6.1k,Bangalore,Job Security,
Pfizer,Pharma,20,4.0,1.7,5.8k,Chennai,Work Life Balance,Promotions / Appraisal
Rivigo,Internet,10,3.9,1.7,6.4k,Gurgaon,Skill Development / Learning,Promotions / Appraisal
Bharat Financial Inclusion,NBFC,26,3.9,1.7,4.1k,Hyderabad,Salary & Benefits,
Intellect Design Arena,,13,4.0,1.7,11.8k,Chennai,Job Security,
Sobha,Real Estate,29,3.9,1.7,7.9k,Bengaluru,Job Security,Promotions / Appraisal
Whirlpool,Consumer Electronics & Appliances,113,4.1,1.7,7.7k,Michigan,Work Life Balance,Promotions / Appraisal
RMSI,IT Services & Consulting,32,3.6,1.7,7.8k,Noida,Promotions / Appraisal,Promotions / Appraisal
IntouchCX,BPO,23,3.0,1.7,7.8k,Winnipeg,Promotions / Appraisal,Promotions / Appraisal
Renault Nissan,,17,4.2,1.7,7.6k,Chennai,Job Security,Promotions / Appraisal
